classes,class_desc
JapaneseChronology,The Japanese Imperial calendar system.
JapaneseDate,A date in the Japanese Imperial calendar system.
JapaneseEra,An era in the Japanese Imperial calendar system.
JarEntry,This class is used to represent a JAR file entry.
JarException,"Signals that an error of some sort has occurred while reading from
 or writing to a JAR file."
JarFile,"The JarFile class is used to read the contents of a jar file
 from any file that can be opened with java.io.RandomAccessFile."
JarInputStream,"The JarInputStream class is used to read the contents of
 a JAR file from any input stream."
JarOutputStream,"The JarOutputStream class is used to write the contents
 of a JAR file to any output stream."
JarURLConnection,"A URL Connection to a Java ARchive (JAR) file or an entry in a JAR
 file."
JavascriptInterface,Annotation that allows exposing methods to JavaScript.
JetPlayer,JetPlayer provides access to JET content playback and control.
JetPlayer.OnJetEventListener,Handles the notification when the JET engine generates an event.
JobInfo,"Container of data passed to the JobScheduler fully encapsulating the
 parameters required to schedule work against the calling application."
JobInfo.Builder,Builder class for constructing JobInfo objects.
JobInfo.TriggerContentUri,"Information about a content URI modification that a job would like to
 trigger on."
JobParameters,Contains the parameters used to configure/identify your job.
JobScheduler,"This is an API for scheduling various types of jobs against the framework that will be executed
 in your application's own process."
JobService,Entry point for the callback from the JobScheduler.
JobServiceEngine,"Helper for implementing a Service that interacts with
 JobScheduler."
JobWorkItem,"A unit of work that can be enqueued for a job using
 JobScheduler.enqueue."
JSONArray,A dense indexed sequence of values.
JSONException,Thrown to indicate a problem with the JSON API.
JSONObject,A modifiable set of name/value mappings.
JsonReader,"Reads a JSON (RFC 4627)
 encoded value as a stream of tokens."
JSONStringer,Implements JSONObject.toString() and JSONArray.toString().
JsonToken,"A structure, name or value type in a JSON-encoded string."
JSONTokener,"Parses a JSON (RFC 4627)
 encoded string into the corresponding object."
JsonWriter,"Writes a JSON (RFC 4627)
 encoded value to a stream, one token at a time."
JsPromptResult,Public class for handling JavaScript prompt requests.
JsResult,"An instance of this class is passed as a parameter in various WebChromeClient action
 notifications."
JulianFields,A set of date fields that provide access to Julian Days.
Key,The Key interface is the top-level interface for all keys.
KeyAgreement,"This class provides the functionality of a key agreement (or key
 exchange) protocol."
KeyAgreementSpi,"This class defines the Service Provider Interface (SPI)
 for the KeyAgreement class."
Keyboard,Loads an XML description of a keyboard and stores the attributes of the keys.
Keyboard.Key,Class for describing the position and characteristics of a single key in the keyboard.
Keyboard.Row,Container for keys in the keyboard.
KeyboardShortcutGroup,A group of KeyboardShortcutInfo.
KeyboardShortcutInfo,Information about a Keyboard Shortcut.
KeyboardView,A view that renders a virtual Keyboard.
KeyboardView.OnKeyboardActionListener,Listener for virtual keyboard events.
KeyChain,"The KeyChain class provides access to private keys and
 their corresponding certificate chains in credential storage."
KeyChainAliasCallback,"The KeyChainAliasCallback is the callback for KeyChain.choosePrivateKeyAlias(Activity, KeyChainAliasCallback, String[], Principal[], Uri, String)."
KeyChainException,Thrown on problems accessing the KeyChain.
KeyCharacterMap,Describes the keys provided by a keyboard device and their associated labels.
KeyCharacterMap.KeyData,"This class was deprecated
      in API level 11.
    instead use KeyCharacterMap.getDisplayLabel(int),
 KeyCharacterMap.getNumber(int) and KeyCharacterMap.get(int, int)."
KeyCharacterMap.UnavailableException,Thrown by KeyCharacterMap.load(int) when a key character map could not be loaded.
KeyEvent,Object used to report key and button events.
KeyEvent.Callback,
KeyEvent.DispatcherState,"Use with KeyEvent.dispatch(Callback, DispatcherState, Object)
 for more advanced key dispatching, such as long presses."
KeyException,This is the basic key exception.
KeyExpiredException,"Indicates that a cryptographic operation failed because the employed key's validity end date
 is in the past."
KeyFactory,"Key factories are used to convert keys (opaque
 cryptographic keys of type Key) into key specifications
 (transparent representations of the underlying key material), and vice
 versa."
KeyFactorySpi,"This class defines the Service Provider Interface (SPI)
 for the KeyFactory class."
Keyframe,This class holds a time/value pair for an animation.
KeyGenerator,This class provides the functionality of a secret (symmetric) key generator.
KeyGeneratorSpi,"This class defines the Service Provider Interface (SPI)
 for the KeyGenerator class."
KeyGenParameterSpec,"AlgorithmParameterSpec for initializing a KeyPairGenerator or a
 KeyGenerator of the Android Keystore
 system."
KeyGenParameterSpec.Builder,Builder of KeyGenParameterSpec instances.
KeyguardManager,Class that can be used to lock and unlock the keyboard.
KeyguardManager.KeyguardDismissCallback,"Callback passed to
 KeyguardManager.requestDismissKeyguard(Activity, KeyguardDismissCallback)
 to notify caller of result."
KeyguardManager.KeyguardLock,"This class was deprecated
      in API level 13.
    Use WindowManager.LayoutParams.FLAG_DISMISS_KEYGUARD
 and/or WindowManager.LayoutParams.FLAG_SHOW_WHEN_LOCKED
 instead; this allows you to seamlessly hide the keyguard as your application
 moves in and out of the foreground and does not require that any special
 permissions be requested.
 Handle returned by KeyguardManager.newKeyguardLock(String) that allows
 you to disable / reenable the keyguard."
KeyguardManager.OnKeyguardExitResult,"This interface was deprecated
      in API level 26.
    Use KeyguardManager.KeyguardDismissCallback
 Callback passed to KeyguardManager.exitKeyguardSecurely(KeyguardManager.OnKeyguardExitResult) to notify
 caller of result."
KeyInfo,"Information about a key from the Android
 Keystore system."
KeyListener,"Interface for converting text key events into edit operations on an
 Editable class."
KeyManagementException,"This is the general key management exception for all operations
 dealing with key management."
KeyManager,This is the base interface for JSSE key managers.
KeyManagerFactory,"This class acts as a factory for key managers based on a
 source of key material."
KeyManagerFactorySpi,"This class defines the Service Provider Interface (SPI)
 for the KeyManagerFactory class."
KeyNotYetValidException,"Indicates that a cryptographic operation failed because the employed key's validity start date
 is in the future."
KeyPair,"This class is a simple holder for a key pair (a public key and a
 private key)."
KeyPairGenerator,"The KeyPairGenerator class is used to generate pairs of
 public and private keys."
KeyPairGeneratorSpec,"This class was deprecated
      in API level 23.
    Use KeyGenParameterSpec instead."
KeyPairGeneratorSpec.Builder,"This class was deprecated
      in API level 23.
    Use KeyGenParameterSpec.Builder instead."
KeyPairGeneratorSpi,"This class defines the Service Provider Interface (SPI)
 for the KeyPairGenerator class, which is used to generate
 pairs of public and private keys."
KeyPermanentlyInvalidatedException,Indicates that the key can no longer be used because it has been permanently invalidated.
KeyProperties,Properties of Android Keystore keys.
KeyProtection,"Specification of how a key or key pair is secured when imported into the
 Android Keystore system."
KeyProtection.Builder,Builder of KeyProtection instances.
KeyRep,Standardized representation for serialized Key objects.
KeyRep.Type,Key type.
KeySpec,"A (transparent) specification of the key material
 that constitutes a cryptographic key."
KeyStore,"This class represents a storage facility for cryptographic
 keys and certificates."
KeyStore.Builder,A description of a to-be-instantiated KeyStore object.
KeyStore.CallbackHandlerProtection,A ProtectionParameter encapsulating a CallbackHandler.
KeyStore.Entry,A marker interface for KeyStore entry types.
KeyStore.Entry.Attribute,An attribute associated with a keystore entry.
KeyStore.LoadStoreParameter,"A marker interface for KeyStore
 load
 and
 store
 parameters."
KeyStore.PasswordProtection,A password-based implementation of ProtectionParameter.
KeyStore.PrivateKeyEntry,"A KeyStore entry that holds a PrivateKey
 and corresponding certificate chain."
KeyStore.ProtectionParameter,A marker interface for keystore protection parameters.
KeyStore.SecretKeyEntry,A KeyStore entry that holds a SecretKey.
KeyStore.TrustedCertificateEntry,"A KeyStore entry that holds a trusted
 Certificate."
KeyStoreBuilderParameters,"A parameters object for X509KeyManagers that encapsulates a List
 of KeyStore.Builders."
KeyStoreException,This is the generic KeyStore exception.
KeyStoreParameter,"This class was deprecated
      in API level 23.
    Use KeyProtection instead."
KeyStoreParameter.Builder,"This class was deprecated
      in API level 23.
    Use KeyProtection.Builder instead."
KeyStoreSpi,"This class defines the Service Provider Interface (SPI)
 for the KeyStore class."
LabeledIntent,"A special subclass of Intent that can have a custom label/icon
 associated with it."
LambdaConversionException,LambdaConversionException
LargeTest,"This @interface was deprecated
      in API level 24.
    Use
 
 LargeTest instead. New tests should be written using the
 Android Testing Support Library."
LastOwnerException,"This is an exception that is thrown whenever an attempt is made to delete
 the last owner of an Access Control List."
LauncherActivity,"Displays a list of all activities which can be performed
 for a given intent."
LauncherActivity.IconResizer,Utility class to resize icons to match default icon size.
LauncherActivity.ListItem,An item in the list
LauncherActivityInfo,"A representation of an activity that can belong to this user or a managed
 profile associated with this user."
LauncherApps,"Class for retrieving a list of launchable activities for the current user and any associated
 managed profiles that are visible to the current user, which can be retrieved with
 getProfiles()."
LauncherApps.Callback,Callbacks for package changes to this and related managed profiles.
LauncherApps.PinItemRequest,"Represents a ""pin shortcut"" or a ""pin appwidget"" request made by an app, which is sent with
 an LauncherApps.ACTION_CONFIRM_PIN_SHORTCUT or LauncherApps.ACTION_CONFIRM_PIN_APPWIDGET intent
 respectively to the default launcher app."
LauncherApps.ShortcutQuery,"Represents a query passed to LauncherApps.getShortcuts(ShortcutQuery, UserHandle)."
LayerDrawable,A Drawable that manages an array of other Drawables.
LayeredSocketFactory,"This interface was deprecated
      in API level 22.
    Please use URL.openConnection() instead.
     Please visit this webpage
     for further details."
Layout,"A base class that manages text layout in visual elements on
 the screen."
Layout.Alignment,
Layout.Directions,"Stores information about bidirectional (left-to-right or right-to-left)
 text within the layout of a line."
LayoutAnimationController,"A layout animation controller is used to animated a layout's, or a view
 group's, children."
LayoutAnimationController.AnimationParameters,"The set of parameters that has to be attached to each view contained in
 the view group animated by the layout animation controller."
LayoutDirection,A class for defining layout directions.
LayoutInflater,"Instantiates a layout XML file into its corresponding View
 objects."
LayoutInflater.Factory,
LayoutInflater.Factory2,
LayoutInflater.Filter,"Hook to allow clients of the LayoutInflater to restrict the set of Views that are allowed
 to be inflated."
LayoutTransition,This class enables automatic animations on layout changes in ViewGroup objects.
LayoutTransition.TransitionListener,This interface is used for listening to starting and ending events for transitions.
LDAPCertStoreParameters,Parameters used as input for the LDAP CertStore algorithm.
LeadingMarginSpan,A paragraph style affecting the leading margin.
LeadingMarginSpan.LeadingMarginSpan2,"An extended version of LeadingMarginSpan, which allows the
 implementor to specify the number of lines of the paragraph to which
 this object is attached that the ""first line of paragraph"" margin width
 will be applied to."
LeadingMarginSpan.Standard,"The standard implementation of LeadingMarginSpan, which adjusts the
 margin but does not do any rendering."
LeakedClosableViolation,
LensShadingMap,Immutable class for describing a 4 x N x M lens shading map of floats.
Level,"The Level class defines a set of standard logging levels that
 can be used to control logging output."
LevelListDrawable,"A resource that manages a number of alternate Drawables, each assigned a maximum numerical value."
LexicalHandler,SAX2 extension handler for lexical events.
LightingColorFilter,A color filter that can be used to simulate simple lighting effects.
LinearGradient,
LinearInterpolator,An interpolator where the rate of change is constant
LinearLayout,"A layout that arranges other views either horizontally in a single column
 or vertically in a single row."
LinearLayout.LayoutParams,Per-child layout information associated with ViewLinearLayout.
LineBackgroundSpan,
LineHeightSpan,The classes that affect the height of the line should implement this interface.
LineHeightSpan.WithDensity,"The classes that affect the height of the line with respect to density, should implement this
 interface."
LineNumberInputStream,"This class was deprecated
      in API level 1.
    This class incorrectly assumes that bytes adequately represent
             characters.  As of JDK 1.1, the preferred way to operate on
             character streams is via the new character-stream classes, which
             include a class for counting line numbers."
LineNumberReader,A buffered character-input stream that keeps track of line numbers.
LinkAddress,Identifies an IP address on a network link.
LinkageError,"Subclasses of LinkageError indicate that a class has
 some dependency on another class; however, the latter class has
 incompatibly changed after the compilation of the former class."
LinkedBlockingDeque<E>,"An optionally-bounded blocking deque based on
 linked nodes."
LinkedBlockingQueue<E>,"An optionally-bounded blocking queue based on
 linked nodes."
"LinkedHashMap<K, V>","Hash table and linked list implementation of the Map interface,
 with predictable iteration order."
LinkedHashSet<E>,"Hash table and linked list implementation of the Set interface,
 with predictable iteration order."
LinkedList<E>,"Doubly-linked list implementation of the List and Deque
 interfaces."
LinkedTransferQueue<E>,An unbounded TransferQueue based on linked nodes.
Linkify,"Linkify take a piece of text and a regular expression and turns all of the
  regex matches in the text into clickable links."
Linkify.MatchFilter,"MatchFilter enables client code to have more control over
  what is allowed to match and become a link, and what is not."
Linkify.TransformFilter,"TransformFilter enables client code to have more control over
  how matched patterns are represented as URLs."
LinkMovementMethod,A movement method that traverses links in the text buffer and scrolls if necessary.
LinkOption,Defines the options as to how symbolic links are handled.
LinkPermission,The Permission class for link creation operations.
LinkProperties,Describes the properties of a network link.
List<E>,An ordered collection (also known as a sequence).
ListActivity,"An activity that displays a list of items by binding to a data source such as
 an array or Cursor, and exposes event handlers when the user selects an item."
ListAdapter,"Extended Adapter that is the bridge between a ListView
 and the data that backs the list."
ListFormatter,"Immutable class for formatting a list, using data from CLDR (or supplied
 separately)."
ListFragment,"This class was deprecated
      in API level 28.
    Use the Support Library
      ListFragment for consistent behavior across all devices
      and access to Lifecycle."
ListIterator<E>,"An iterator for lists that allows the programmer
 to traverse the list in either direction, modify
 the list during iteration, and obtain the iterator's
 current position in the list."
ListPopupWindow,"A ListPopupWindow anchors itself to a host view and displays a
 list of choices."
ListPreference,"A Preference that displays a list of entries as
 a dialog."
ListResourceBundle,"ListResourceBundle is an abstract subclass of
 ResourceBundle that manages resources for a locale
 in a convenient and easy to use list."
ListView,"Displays a vertically-scrollable collection of views, where each view is positioned
 immediatelybelow the previous view in the list."
ListView.FixedViewInfo,"A class that represents a fixed view in a list, for example a header at the top
 or a footer at the bottom."
LiveFolders,"This class was deprecated
      in API level 14.
    Live folders are no longer supported by Android.  These have been
 replaced by the new
 AppWidget Collection
 APIs introduced in Build.VERSION_CODES.HONEYCOMB.  These provide
 all of the features of live folders plus many more.  The use of live folders is greatly
 discouraged because of security issues they introduce -- publishing a live folder requires
 making all data show for the live folder available to all applications with no
 permissions protecting it."
Loader<D>,"This class was deprecated
      in API level 28.
    Use the Support Library
      Loader"
Loader.ForceLoadContentObserver,"This class was deprecated
      in API level 28.
    Use Loader.ForceLoadContentObserver"
Loader.OnLoadCanceledListener<D>,"This interface was deprecated
      in API level 28.
    Use Loader.OnLoadCanceledListener"
Loader.OnLoadCompleteListener<D>,"This interface was deprecated
      in API level 28.
    Use Loader.OnLoadCompleteListener"
LoaderManager,"This class was deprecated
      in API level 28.
    Use the Support Library
      LoaderManager"
LoaderManager.LoaderCallbacks<D>,"This interface was deprecated
      in API level 28.
    Use the 
      Support Library LoaderManager.LoaderCallbacks"
LoaderTestCase,A convenience class for testing Loaders.
LocalActivityManager,"This class was deprecated
      in API level 13.
    Use the new Fragment and FragmentManager APIs
 instead; these are also
 available on older platforms through the Android compatibility package."
LocalDate,"A date without a time-zone in the ISO-8601 calendar system,
 such as 2007-12-03."
LocalDateTime,"A date-time without a time-zone in the ISO-8601 calendar system,
 such as 2007-12-03T10:15:30."
Locale,"A Locale object represents a specific geographical, political,
 or cultural region."
Locale.Builder,"Builder is used to build instances of Locale
 from values configured by the setters."
Locale.Category,Enum for locale categories.
Locale.FilteringMode,"This enum provides constants to select a filtering mode for locale
 matching."
Locale.LanguageRange,"This class expresses a Language Range defined in
 RFC 4647 Matching of
 Language Tags."
LocaleData,A class for accessing miscellaneous data in the locale bundles
LocaleData.MeasurementSystem,Enumeration for representing the measurement systems.
LocaleData.PaperSize,"A class that represents the size of letter head
 used in the country"
LocaleDisplayNames,Returns display names of ULocales and components of ULocales.
LocaleDisplayNames.DialectHandling,"Enum used in LocaleDisplayNames.getInstance(ULocale, DialectHandling)."
LocaleDisplayNames.UiListItem,"Struct-like class used to return information for constructing a UI list, each corresponding to a locale."
LocaleList,"LocaleList is an immutable list of Locales, typically used to keep an ordered list of user
 preferences for locales."
LocaleSpan,Changes the Locale of the text to which the span is attached.
LocalServerSocket,"Non-standard class for creating an inbound UNIX-domain socket
 in the Linux abstract namespace."
LocalSocket,Creates a (non-server) socket in the UNIX-domain namespace.
LocalSocketAddress,A UNIX-domain (AF_LOCAL) socket address.
LocalSocketAddress.Namespace,The namespace that this address exists in.
LocalTime,"A time without a time-zone in the ISO-8601 calendar system,
 such as 10:15:30."
Location,A data class representing a geographic location.
LocationListener,"Used for receiving notifications from the LocationManager when
 the location has changed."
LocationManager,This class provides access to the system location services.
LocationProvider,An abstract superclass for location providers.
Locator,Interface for associating a SAX event with a document location.
Locator2,"SAX2 extension to augment the entity information provided
 though a Locator."
Locator2Impl,"SAX2 extension helper for holding additional Entity information,
 implementing the Locator2 interface."
LocatorImpl,Provide an optional convenience implementation of Locator.
Lock,"Lock implementations provide more extensive locking
 operations than can be obtained using synchronized methods
 and statements."
LockSupport,"Basic thread blocking primitives for creating locks and other
 synchronization classes."
Log,API for sending log output.
Logger,"A Logger object is used to log messages for a specific
 system or application component."
LoggingMXBean,The management interface for the logging facility.
LoggingPermission,Legacy security code; do not use.
LoginException,This is the basic login exception.
LoginFilter,Abstract class for filtering login-related text (user names and passwords)
LoginFilter.PasswordFilterGMail,"This filter is compatible with GMail passwords which restricts characters to 
 the Latin-1 (ISO8859-1) char set."
LoginFilter.UsernameFilterGeneric,This filter rejects characters in the user name that are not compatible with Google login.
LoginFilter.UsernameFilterGMail,"This filter rejects characters in the user name that are not compatible with GMail 
 account creation."
LogManager,"There is a single global LogManager object that is used to
 maintain a set of shared state about Loggers and log services."
LogPrinter,"Implementation of a Printer that sends its output
 to the system log."
LogRecord,"LogRecord objects are used to pass logging requests between
 the logging framework and individual log Handlers."
Long,The Long class wraps a value of the primitive type long in an object.
Long2,Vector version of the basic long type.
Long3,Vector version of the basic long type.
Long4,Vector version of the basic long type.
LongAccumulator,"One or more variables that together maintain a running long
 value updated using a supplied function."
LongAdder,"One or more variables that together maintain an initially zero
 long sum."
LongBinaryOperator,"Represents an operation upon two long-valued operands and producing a
 long-valued result."
LongBuffer,A long buffer.
LongConsumer,"Represents an operation that accepts a single long-valued argument and
 returns no result."
LongFunction<R>,"Represents a function that accepts a long-valued argument and produces a
 result."
LongPredicate,"Represents a predicate (boolean-valued function) of one long-valued
 argument."
LongSparseArray<E>,SparseArray mapping longs to Objects.
LongStream,"A sequence of primitive long-valued elements supporting sequential and parallel
 aggregate operations."
LongStream.Builder,A mutable builder for a LongStream.
LongSummaryStatistics,"A state object for collecting statistics such as count, min, max, sum, and
 average."
LongSupplier,Represents a supplier of long-valued results.
LongToDoubleFunction,"Represents a function that accepts a long-valued argument and produces a
 double-valued result."
LongToIntFunction,"Represents a function that accepts a long-valued argument and produces an
 int-valued result."
LongUnaryOperator,"Represents an operation on a single long-valued operand that produces
 a long-valued result."
Looper,Class used to run a message loop for a thread.
LoudnessEnhancer,LoudnessEnhancer is an audio effect for increasing audio loudness.
"LruCache<K, V>",A cache that holds strong references to a limited number of values.
LSException,"Parser or write operations may throw an LSException if the
 processing is stopped."
LSInput,This interface represents an input source for data.
LSOutput,This interface represents an output destination for data.
LSParser,"An interface to an object that is able to build, or augment, a DOM tree
 from various input sources."
LSParserFilter,"LSParserFilters provide applications the ability to examine
 nodes as they are being constructed while parsing."
LSResourceResolver,"LSResourceResolver provides a way for applications to
 redirect references to external resources."
LSSerializer,"A LSSerializer provides an API for serializing (writing) a
 DOM document out into XML."
LuhnChecksumValidator,"Validator that returns true if the number created by concatenating all given fields
 pass a Luhn algorithm checksum."
Mac,"This class provides the functionality of a ""Message Authentication Code""
 (MAC) algorithm."
MacAddress,Representation of a MAC address.
MacSpi,"This class defines the Service Provider Interface (SPI)
 for the Mac class."
Magnifier,Android magnifier widget.
MailTo,"MailTo URL parser
 This class parses a mailto scheme URL and then can be queried for
 the parsed parameters."
MalformedInputException,"Checked exception thrown when an input byte sequence is not legal for given
 charset, or an input character sequence is not a legal sixteen-bit Unicode
 sequence."
MalformedJsonException,Thrown when a reader encounters malformed JSON.
MalformedParameterizedTypeException,"Thrown when a semantically malformed parameterized type is
 encountered by a reflective method that needs to instantiate it."
MalformedParametersException,"Thrown when the
 java.lang.reflect package attempts to read method parameters from
 a class file and determines that one or more parameters are
 malformed."
MalformedURLException,Thrown to indicate that a malformed URL has occurred.
ManagerFactoryParameters,"This class is the base interface for providing
 algorithm-specific information to a KeyManagerFactory or
 TrustManagerFactory."
Manifest,
Manifest,"The Manifest class is used to maintain Manifest entry names and their
 associated Attributes."
Manifest.permission,
Manifest.permission_group,
"Map<K, V>",An object that maps keys to values.
"Map.Entry<K, V>",A map entry (key-value pair).
MappedByteBuffer,A direct byte buffer whose content is a memory-mapped region of a file.
MaskFilter,"MaskFilter is the base class for object that perform transformations on
 an alpha-channel mask before drawing it."
MaskFilterSpan,Span that allows setting a MaskFilter to the text it's attached to.
Matcher,An engine that performs match operations on a character sequence by interpreting a Pattern.
MatchResult,The result of a match operation.
Math,"The class Math contains methods for performing basic
 numeric operations such as the elementary exponential, logarithm,
 square root, and trigonometric functions."
MathContext,"The MathContext immutable class encapsulates the
 settings understood by the operator methods of the BigDecimal
 class (and potentially other classes)."
MathContext,"Immutable objects describing settings such as rounding mode and digit
 precision for the numerical operations provided by class BigDecimal."
Matrix,The Matrix class holds a 3x3 matrix for transforming coordinates.
Matrix,Matrix math utilities.
Matrix.ScaleToFit,Controlls how the src rect should align into the dst rect for setRectToRect().
Matrix2f,Class for exposing the native RenderScript rs_matrix2x2 type back to the Android system.
Matrix3f,Class for exposing the native RenderScript rs_matrix3x3 type back to the Android system.
Matrix4f,Class for exposing the native RenderScript rs_matrix4x4 type back to the Android system.
MatrixCursor,A mutable cursor implementation backed by an array of Objects.
MatrixCursor.RowBuilder,"Builds a row of values using either of these approaches:
 
 Values can be added with explicit column ordering using
 add(Object), which starts from the left-most column and adds one
 column value at a time."
MbmsDownloadReceiver,The BroadcastReceiver responsible for handling intents sent from the middleware.
MbmsDownloadSession,This class provides functionality for file download over MBMS.
MbmsDownloadSessionCallback,"A callback class that apps should use to receive information on file downloads over
 cell-broadcast."
MbmsErrors,
MbmsErrors.DownloadErrors,Indicates the errors that are applicable only to the file-download use-case
MbmsErrors.GeneralErrors,"Indicates the errors that may occur at any point and are applicable to both
 streaming and file-download."
MbmsErrors.InitializationErrors,"Indicates errors that may be generated during initialization by the
 middleware."
MbmsErrors.StreamingErrors,Indicates the errors that are applicable only to the streaming use-case
MbmsStreamingSession,This class provides functionality for streaming media over MBMS.
MbmsStreamingSessionCallback,"A callback class that is used to receive information from the middleware on MBMS streaming
 services."
Measure,"An amount of a specified unit, consisting of a Number and a Unit."
MeasureFormat,A formatter for Measure objects.
MeasureFormat.FormatWidth,Formatting width enum.
MeasureUnit,"A unit such as length, mass, volume, currency, etc."
MediaActionSound,"A class for producing sounds that match those produced by various actions
 taken by the media and camera APIs."
MediaBrowser,Browses media content offered by a link MediaBrowserService.
MediaBrowser.ConnectionCallback,Callbacks for connection related events.
MediaBrowser.ItemCallback,"Callback for receiving the result of MediaBrowser.getItem(String, MediaBrowser.ItemCallback)."
MediaBrowser.MediaItem,A class with information on a single media item for use in browsing/searching media.
MediaBrowser.SubscriptionCallback,Callbacks for subscription related events.
MediaBrowserService,Base class for media browser services.
MediaBrowserService.BrowserRoot,"Contains information that the browser service needs to send to the client
 when first connected."
MediaBrowserService.Result<T>,Completion handler for asynchronous callback methods in MediaBrowserService.
MediaCas,"MediaCas can be used to obtain keys for descrambling protected media streams, in
 conjunction with MediaDescrambler."
MediaCas.EventListener,"An interface registered by the caller to MediaCas.setEventListener(MediaCas.EventListener, Handler)
 to receives scheme-specific notifications from a MediaCas instance."
MediaCas.PluginDescriptor,Describe a CAS plugin with its CA_system_ID and string name.
MediaCas.Session,Class for an open session with the CA system.
MediaCasException,Base class for MediaCas exceptions
MediaCasException.DeniedByServerException,"Exception thrown when the provisioning server or key server denies a
 license for a device."
MediaCasException.NotProvisionedException,"Exception thrown when an operation on a MediaCas object is attempted
 before it's provisioned successfully."
MediaCasException.ResourceBusyException,"Exception thrown when an operation on a MediaCas object is attempted
 and hardware resources are not available, due to being in use."
MediaCasException.UnsupportedCasException,"Exception thrown when an attempt is made to construct a MediaCas object
 using a CA_system_id that is not supported by the device"
MediaCasStateException,Base class for MediaCas runtime exceptions
MediaCodec,"MediaCodec class can be used to access low-level media codecs, i.e."
MediaCodec.BufferInfo,"Per buffer metadata includes an offset and size specifying
 the range of valid data in the associated codec (output) buffer."
MediaCodec.Callback,MediaCodec callback interface.
MediaCodec.CodecException,Thrown when an internal codec error occurs.
MediaCodec.CryptoException,Thrown when a crypto error occurs while queueing a secure input buffer.
MediaCodec.CryptoInfo,Metadata describing the structure of an encrypted input sample.
MediaCodec.CryptoInfo.Pattern,Metadata describing an encryption pattern for the protected bytes in a subsample.
MediaCodec.MetricsConstants,
MediaCodec.OnFrameRenderedListener,Listener to be called when an output frame has rendered on the output surface
MediaCodecInfo,Provides information about a given media codec available on the device.
MediaCodecInfo.AudioCapabilities,A class that supports querying the audio capabilities of a codec.
MediaCodecInfo.CodecCapabilities,Encapsulates the capabilities of a given codec component.
MediaCodecInfo.CodecProfileLevel,Encapsulates the profiles available for a codec component.
MediaCodecInfo.EncoderCapabilities,A class that supports querying the encoding capabilities of a codec.
MediaCodecInfo.VideoCapabilities,A class that supports querying the video capabilities of a codec.
MediaCodecList,"Allows you to enumerate available codecs, each specified as a MediaCodecInfo object,
 find a codec supporting a given format and query the capabilities
 of a given codec."
MediaController,Allows an app to interact with an ongoing media session.
MediaController,A view containing controls for a MediaPlayer.
MediaController.Callback,Callback for receiving updates from the session.
MediaController.MediaPlayerControl,
MediaController.PlaybackInfo,"Holds information about the current playback and how audio is handled for
 this session."
MediaController.TransportControls,Interface for controlling media playback on a session.
MediaCrypto,"MediaCrypto class can be used in conjunction with MediaCodec
 to decode encrypted media data."
MediaCryptoException,"Exception thrown if MediaCrypto object could not be instantiated or
 if unable to perform an operation on the MediaCrypto object."
MediaDataSource,For supplying media data to the framework.
MediaDescrambler,"MediaDescrambler class can be used in conjunction with MediaCodec
 and MediaExtractor to decode media data scrambled by conditional
 access (CA) systems such as those in the ISO/IEC13818-1."
MediaDescription,A simple set of metadata for a media item suitable for display.
MediaDescription.Builder,Builder for MediaDescription objects.
MediaDrm,"MediaDrm can be used to obtain keys for decrypting protected media streams, in
 conjunction with MediaCrypto."
MediaDrm.CryptoSession,"In addition to supporting decryption of DASH Common Encrypted Media, the
 MediaDrm APIs provide the ability to securely deliver session keys from
 an operator's session key server to a client device, based on the factory-installed
 root of trust, and then perform encrypt, decrypt, sign and verify operations
 with the session key on arbitrary user data."
MediaDrm.HdcpLevel,
MediaDrm.KeyRequest,Contains the opaque data an app uses to request keys from a license server.
MediaDrm.KeyStatus,Defines the status of a key.
MediaDrm.MediaDrmStateException,Thrown when an unrecoverable failure occurs during a MediaDrm operation.
MediaDrm.MetricsConstants,"Definitions for the metrics that are reported via the
 MediaDrm.getMetrics() call."
MediaDrm.OnEventListener,"Interface definition for a callback to be invoked when a drm event
 occurs"
MediaDrm.OnExpirationUpdateListener,"Interface definition for a callback to be invoked when a drm session
 expiration update occurs"
MediaDrm.OnKeyStatusChangeListener,"Interface definition for a callback to be invoked when the keys in a drm
 session change states."
MediaDrm.ProvisionRequest,"Contains the opaque data an app uses to request a certificate from a provisioning
 server"
MediaDrm.SecurityLevel,"Security level indicates the robustness of the device's DRM
 implementation."
MediaDrmException,Base class for MediaDrm exceptions
MediaDrmResetException,"This exception is thrown when the MediaDrm instance has become unusable
 due to a restart of the mediaserver process."
MediaExtractor,"MediaExtractor facilitates extraction of demuxed, typically encoded,  media data
 from a data source."
MediaExtractor.CasInfo,Describes the conditional access system used to scramble a track.
MediaExtractor.MetricsConstants,
MediaFormat,"Encapsulates the information describing the format of media data,
 be it audio or video."
MediaMetadata,"Contains metadata about an item, such as the title, artist, etc."
MediaMetadata.Builder,Use to build MediaMetadata objects.
MediaMetadataEditor,"This class was deprecated
      in API level 21.
    Use MediaMetadata instead together with MediaSession."
MediaMetadataRetriever,"MediaMetadataRetriever class provides a unified interface for retrieving
 frame and meta data from an input media file."
MediaMetadataRetriever.BitmapParams,
MediaMuxer,MediaMuxer facilitates muxing elementary streams.
MediaMuxer.OutputFormat,Defines the output format.
MediaPlayer,"MediaPlayer class can be used to control playback
 of audio/video files and streams."
